date,open,high,low,close,volume,turnover,code,name
9/2/2023,6508.34,6509.28,6422.66,6432.66,14969996,733753796.5,TMTI,المواد الأساسية
8/2/2023,6458.11,6527.35,6432.64,6514.3,13809247,598668203.2,TMTI,المواد الأساسية
7/2/2023,6498.4,6527.27,6440.98,6464.35,14403804,599791381.5,TMTI,المواد الأساسية
6/2/2023,6405.57,6498.3,6328.57,6490.41,21294945,897600311.9,TMTI,المواد الأساسية
5/2/2023,6528.5,6528.5,6420.04,6431.94,15840446,559170227.8,TMTI,المواد الأساسية
2/2/2023,6595.73,6601.06,6524.63,6539.61,15382291,604468114.8,TMTI,المواد الأساسية
1/2/2023,6607.7,6611.17,6568.26,6609.86,18209584,634328629.9,TMTI,المواد الأساسية
31/01/2023,6669.45,6676.56,6619.93,6629.55,20033602,805560780.9,TMTI,المواد الأساسية
30/01/2023,6719.48,6719.72,6622.96,6679.3,22131420,965431383.4,TMTI,المواد الأساسية
29/01/2023,6781.02,6781.02,6704.65,6722.14,16623886,752601666.8,TMTI,المواد الأساسية
26/01/2023,6785.67,6801.65,6762.62,6768.54,18319355,785449302.6,TMTI,المواد الأساسية
25/01/2023,6747.43,6806.59,6734.49,6784.56,22228234,1080938180,TMTI,المواد الأساسية
24/01/2023,6727.73,6759.65,6718.83,6749.95,20281496,813916554.2,TMTI,المواد الأساسية
23/01/2023,6731.87,6743.63,6704.21,6725.31,21073744,831701092.1,TMTI,المواد الأساسية
22/01/2023,6706.86,6745.53,6693.79,6726.53,20063838,820291665.2,TMTI,المواد الأساسية
19/01/2023,6672.82,6696.33,6642.52,6687.4,18547429,769113946.4,TMTI,المواد الأساسية
18/01/2023,6665.6,6716.9,6656.36,6713.12,20130399,904346914,TMTI,المواد الأساسية
17/01/2023,6641.69,6666.65,6577.83,6666.65,20388582,918815968.9,TMTI,المواد الأساسية
16/01/2023,6671.14,6671.3,6607.87,6650.72,20546913,936424520.1,TMTI,المواد الأساسية
15/01/2023,6719.73,6733.17,6669.98,6672.49,22349539,993628120.2,TMTI,المواد الأساسية
12/1/2023,6691.64,6719.54,6657.96,6719.54,24140823,1051659502,TMTI,المواد الأساسية
11/1/2023,6659.85,6702.24,6658.17,6687.36,33237921,1453200081,TMTI,المواد الأساسية
10/1/2023,6611.24,6626.49,6568.85,6626.49,28624446,1132374845,TMTI,المواد الأساسية
9/1/2023,6500.67,6608.97,6490.14,6608.97,27963495,1178086440,TMTI,المواد الأساسية
8/1/2023,6449.79,6499.64,6446.23,6487.37,21369168,926484474.3,TMTI,المواد الأساسية
5/1/2023,6405.98,6446.42,6381.84,6445.99,20945993,856924037.5,TMTI,المواد الأساسية
4/1/2023,6466.44,6492.65,6406.33,6411.11,29118767,1126034972,TMTI,المواد الأساسية
3/1/2023,6403.92,6474.87,6403.64,6469.11,27426570,983889178.1,TMTI,المواد الأساسية
2/1/2023,6353.35,6400.66,6345.18,6394.71,23089904,940251880.4,TMTI,المواد الأساسية
1/1/2023,6312.69,6358.97,6290.21,6351.87,15718505,602509354.8,TMTI,المواد الأساسية
